ModelID,Num_ModelID,Model_Name,Model_Type,RDBMS_Type
E6F2C42B-ABDA-6762-4580-BDAC22333351,82,"Logical",Logical,,
F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",Relational,Oracle Database 21c,
